date,price
2/14/2025,97161.42
2/13/2025,96438.69
2/12/2025,97845.15
2/11/2025,95556.39
2/10/2025,97419.3
2/9/2025,95856.72
2/8/2025,96500
2/7/2025,96048.56
2/6/2025,96900.58
2/5/2025,96529.5
2/4/2025,97773.24
2/3/2025,101782.5
2/2/2025,97954.44
2/1/2025,100663.44
1/31/2025,102173.14
1/30/2025,105119.11
1/29/2025,103550
1/28/2025,101228.71
1/27/2025,101654.55
1/26/2025,104316.01
1/25/2025,105060.45
1/24/2025,104712.14
1/23/2025,103961.02
1/22/2025,103819.51
1/21/2025,106019.57
1/20/2025,103460.75
1/19/2025,103300.19
1/18/2025,104172
1/17/2025,104438.21
1/16/2025,99813.5
1/15/2025,99738.01
1/14/2025,96676.75
1/13/2025,94370.77
1/12/2025,93870
1/11/2025,94572.38
1/10/2025,94755.03
1/9/2025,92472.8
1/8/2025,95274.04
1/7/2025,97144.85
1/6/2025,102039.4
1/5/2025,98674.25
1/4/2025,98439.59
1/3/2025,98247.47
1/2/2025,96824.87
1/1/2025,94584.6
12/31/2024,93318.55
12/30/2024,92627.83
12/29/2024,92936.46
12/28/2024,95164.7
12/27/2024,94298
12/26/2024,95680.84
12/25/2024,98748
12/24/2024,98694.34
12/23/2024,95059.81
12/22/2024,95492.46
12/21/2024,97069.32
12/20/2024,97397.49
12/19/2024,98311.83
12/18/2024,101126.93
12/17/2024,105989.99
12/16/2024,105850.72
12/15/2024,103245.99
12/14/2024,101143.97
12/13/2024,101255.09
12/12/2024,100482.34
12/11/2024,101298.86
12/10/2024,96917.71
12/9/2024,97007.7
12/8/2024,100288.32
12/7/2024,99711.52
12/6/2024,100676.91
12/5/2024,96872.97
12/4/2024,98364.63
12/3/2024,96134.9
12/2/2024,95395.81
12/1/2024,97612.44
11/30/2024,96521.07
11/29/2024,97365.81
11/28/2024,95684.85
11/27/2024,96156.22
11/26/2024,91780.89
11/25/2024,94370.11
11/24/2024,98064.69
11/23/2024,97767.14
11/22/2024,98980.6
11/21/2024,98503.79
11/20/2024,94300
11/19/2024,91951.13
11/18/2024,91226.49
11/17/2024,89564.89
11/16/2024,90325.54
