date,price
1/4/2010,109.8
1/5/2010,109.7
1/6/2010,111.51
1/7/2010,110.82
1/8/2010,111.37
1/11/2010,112.85
1/12/2010,110.49
1/13/2010,111.54
1/14/2010,112.03
1/15/2010,110.86
1/19/2010,111.52
1/20/2010,108.94
1/21/2010,107.37
1/22/2010,107.17
1/25/2010,107.48
1/26/2010,107.56
1/27/2010,106.528
1/28/2010,106.48
1/29/2010,105.96
2/1/2010,108.35
2/2/2010,109.13
2/3/2010,108.7
2/4/2010,104.37
2/5/2010,104.68
2/8/2010,104.04
2/9/2010,105.41
2/10/2010,105.12
2/11/2010,107.13
2/12/2010,107.04
2/16/2010,109.62
2/17/2010,109.25
2/18/2010,109.98
2/19/2010,109.47
2/22/2010,109.07
2/23/2010,107.89
2/24/2010,107.36
2/25/2010,108.31
2/26/2010,109.43
3/1/2010,109.43
3/2/2010,111.02
3/3/2010,111.63
3/4/2010,110.83
3/5/2010,110.81
3/8/2010,109.88
3/9/2010,109.718
3/10/2010,108.47
3/11/2010,108.6
3/12/2010,107.95
3/15/2010,108.36
3/16/2010,110.4
3/17/2010,109.59
3/18/2010,110.34
3/19/2010,108.28
3/22/2010,107.75
3/23/2010,108.32
3/24/2010,106.3
3/25/2010,106.78
3/26/2010,108.59
3/29/2010,108.75
3/30/2010,107.97
3/31/2010,108.95
4/1/2010,110.26
4/5/2010,110.89
4/6/2010,111.03
4/7/2010,112.49
4/8/2010,112.65
4/9/2010,113.64
4/12/2010,113.01
4/13/2010,112.69
4/14/2010,113.03
4/15/2010,113.65
4/16/2010,111.24
4/19/2010,111.15
4/20/2010,111.46
4/21/2010,112.31
4/22/2010,111.84
4/23/2010,113.19
4/26/2010,112.75
4/27/2010,114.63
4/28/2010,114.31
4/29/2010,114.28
4/30/2010,115.36
5/3/2010,115.73
5/4/2010,114.87
5/5/2010,115.09
5/6/2010,118.486
5/7/2010,118.27
5/10/2010,117.57
5/11/2010,120.656
5/12/2010,121.4
5/13/2010,120.56
5/14/2010,120.37
5/17/2010,119.36
5/18/2010,119.49
5/19/2010,116.63
5/20/2010,115.84
5/21/2010,115.22
5/24/2010,116.84
5/25/2010,117.36
5/26/2010,118.47
5/27/2010,118.69
5/28/2010,118.881
6/1/2010,119.91
6/2/2010,119.78
6/3/2010,117.96
6/4/2010,119.19
6/7/2010,121.49
6/8/2010,121.0025
6/9/2010,120.56
6/10/2010,118.975
6/11/2010,120.01
6/14/2010,119.6
6/15/2010,120.99
6/16/2010,120.33
6/17/2010,121.9
6/18/2010,122.83
6/21/2010,120.39
6/22/2010,121.45
6/23/2010,120.95
6/24/2010,121.3
6/25/2010,122.76
6/28/2010,121.09
6/29/2010,121.27
6/30/2010,121.68
7/1/2010,117.04
7/2/2010,118.49
7/6/2010,116.51
7/7/2010,117.73
7/8/2010,117.21
7/9/2010,118.36
7/12/2010,117.34
7/13/2010,118.36
7/14/2010,118.3
7/15/2010,118.23
7/16/2010,116.67
7/19/2010,115.73
7/20/2010,116.65
7/21/2010,115.85
7/22/2010,116.863
7/23/2010,116.09
7/26/2010,115.52
7/27/2010,113.51
7/28/2010,113.78
7/29/2010,114.288
7/30/2010,115.49
8/2/2010,115.54
8/3/2010,115.99
8/4/2010,116.72
8/5/2010,116.98
8/6/2010,117.84
8/9/2010,117.4
8/10/2010,117.73
8/11/2010,117.34
8/12/2010,118.77
8/13/2010,118.74
8/16/2010,119.73
8/17/2010,119.75
8/18/2010,120.22
8/19/2010,120.39
8/20/2010,119.97
8/23/2010,119.78
8/24/2010,120.36
8/25/2010,121.36
8/26/2010,120.96
8/27/2010,121.01
8/30/2010,120.91
8/31/2010,122.08
9/1/2010,121.69
9/2/2010,122.29
9/3/2010,121.86
9/7/2010,122.7
9/8/2010,122.71
9/9/2010,121.56
9/10/2010,121.73
9/13/2010,121.62
9/14/2010,124.024
9/15/2010,123.94
9/16/2010,124.63
9/17/2010,124.5425
9/20/2010,124.87
9/21/2010,126.01
9/22/2010,126.2
9/23/2010,126.3
9/24/2010,126.69
9/27/2010,126.72
9/28/2010,127.85
9/29/2010,127.95
9/30/2010,127.91
10/1/2010,128.91
10/4/2010,128.46
10/5/2010,130.99
10/6/2010,131.81
10/7/2010,130.37
10/8/2010,131.66
10/11/2010,132.292
10/12/2010,131.96
10/13/2010,134.07
10/14/2010,134.75
10/15/2010,133.68
10/18/2010,134.28
10/19/2010,130.11
10/20/2010,131.32
10/21/2010,129.47
10/22/2010,129.73
10/25/2010,130.85
10/26/2010,130.88
10/27/2010,129.52
10/28/2010,131.24
10/29/2010,132.62
11/1/2010,131.92
11/2/2010,132.49
11/3/2010,131.57
11/4/2010,136.03
11/5/2010,136.38
11/8/2010,137.78
11/9/2010,135.59
11/10/2010,137.24
11/11/2010,137.66
11/12/2010,133.69
11/15/2010,132.42
11/16/2010,130.968
11/17/2010,130.38
11/18/2010,132.088
11/19/2010,132.2
11/22/2010,133.48
11/23/2010,134.41
11/24/2010,134.18
11/26/2010,133.11
11/29/2010,133.508
11/30/2010,135.42
12/1/2010,135.38
12/2/2010,135.2
12/3/2010,138.07
12/6/2010,139.11
12/7/2010,136.5
12/8/2010,134.79
12/9/2010,135.37
12/10/2010,135.408
12/13/2010,136.05
12/14/2010,136.18
12/15/2010,134.7
12/16/2010,133.81
12/17/2010,134.2
12/20/2010,135.11
12/21/2010,135.32
12/22/2010,135.05
12/23/2010,134.66
12/27/2010,135.02
12/28/2010,137.22
12/29/2010,137.71
12/30/2010,137.03
12/31/2010,138.72
1/3/2011,138
1/4/2011,134.75
1/5/2011,134.37
1/6/2011,133.83
1/7/2011,133.58
1/10/2011,134.12
1/11/2011,134.91
1/12/2011,135.46
1/13/2011,134.05
1/14/2011,132.69
1/18/2011,133.43
1/19/2011,133.72
1/20/2011,131.2
1/21/2011,131.03
1/24/2011,130.36
1/25/2011,130.1
1/26/2011,131.16
1/27/2011,127.925
1/28/2011,130.28
1/31/2011,129.87
2/1/2011,130.8
2/2/2011,130.45
2/3/2011,132.2
2/4/2011,131.66
2/7/2011,131.68
2/8/2011,133.14
2/9/2011,133.07
2/10/2011,132.85
2/11/2011,132.3225
2/14/2011,132.95
2/15/2011,133.97
2/16/2011,134.1
2/17/2011,135.04
2/18/2011,135.41
2/22/2011,136.29
2/23/2011,137.51
2/24/2011,136.48
2/25/2011,137.384
2/28/2011,137.661
3/1/2011,140.03
3/2/2011,139.917
3/3/2011,138.09
3/4/2011,139.35
3/7/2011,139.721
3/8/2011,139.36
3/9/2011,139.41
3/10/2011,137.77
3/11/2011,138.22
3/14/2011,138.86
3/15/2011,136.27
3/16/2011,136.24
3/17/2011,136.97
3/18/2011,138.37
3/21/2011,139.14
3/22/2011,139.05
3/23/2011,140.34
3/24/2011,139.22
3/25/2011,139.26
3/28/2011,138.54
3/29/2011,138.21
3/30/2011,138.67
3/31/2011,139.86
4/1/2011,139.2
4/4/2011,139.84
4/5/2011,142.05
4/6/2011,142.38
4/7/2011,142.51
4/8/2011,143.66
4/11/2011,142.64
4/12/2011,141.61
4/13/2011,141.9
4/14/2011,143.81
4/15/2011,145.05
4/18/2011,145.93
4/19/2011,145.93
4/20/2011,146.5
4/21/2011,146.74
4/25/2011,146.87
4/26/2011,146.38
4/27/2011,149.2
4/28/2011,149.82
4/29/2011,152.37
5/2/2011,150.414
5/3/2011,149.88
5/4/2011,147.73
5/5/2011,143.47
5/6/2011,145.3
5/9/2011,147.38
5/10/2011,147.9
5/11/2011,146.54
5/12/2011,146.59
5/13/2011,145.63
