[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [INSTRUMENT_NAME], [BASE_CURRENCY], [CONTRACT_SIZE], [UNDERLYING_INDEX], [UNDERLYING_PRICE], [EXPIRY_DATE], [EXPIRY_UNIX], [EXPIRY_TIME], [DTE], [OPTION_RIGHT], [STRIKE], [BID_SIZE], [BID_PRICE], [ASK_PRICE], [ASK_SIZE], [OPEN_INTEREST], [VOLUME], [DELTA], [GAMMA], [VEGA], [THETA], [RHO], [MARK_IV], [STRIKE_DISTANCE_PCT]
1622520046, 2021-06-01 00:00, 2021-06-01, 0.000000, BTC-1JUN21-30000-C, BTC, 1.000000, SYN.BTC-1JUN21, 36677.340000, 2021-06-01, 1622534400, 4.000000, 0.166130, call, 30000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 1.000000, 0.000000, 0.000000, 0.000000, 0.136990, 149.630000, 0.181950
1622520046, 2021-06-01 00:00, 2021-06-01, 0.000000, BTC-1JUN21-30000-P, BTC, 1.000000, SYN.BTC-1JUN21, 36662.880000, 2021-06-01, 1622534400, 4.000000, 0.166130, put, 30000.000000, 0.000000, 0.000000, 0.000500, 43.000000, 26.800000, 30.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 149.580000, 0.181690
1622520046, 2021-06-01 00:00, 2021-06-01, 0.000000, BTC-1JUN21-32000-C, BTC, 1.000000, SYN.BTC-1JUN21, 36661.740000, 2021-06-01, 1622534400, 4.000000, 0.166130, call, 32000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 0.999990, 0.000000, 0.000280, -0.020980, 0.145510, 148.360000, 0.127180
1622520046, 2021-06-01 00:00, 2021-06-01, 0.000000, BTC-1JUN21-32000-P, BTC, 1.000000, SYN.BTC-1JUN21, 36665.330000, 2021-06-01, 1622534400, 4.000000, 0.166130, put, 32000.000000, 0.000000, 0.000000, 0.000500, 48.500000, 23.200000, 19.100000, -0.000010, 0.000000, 0.000280, -0.001980, 0.000000, 148.360000, 0.127180
1622520046, 2021-06-01 00:00, 2021-06-01, 0.000000, BTC-1JUN21-33000-C, BTC, 1.000000, SYN.BTC-1JUN21, 36696.950000, 2021-06-01, 1622534400, 4.000000, 0.166130, call, 33000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 0.999640, 0.000000, 0.010210, -0.753100, 0.150620, 147.540000, 0.100450
1622520046, 2021-06-01 00:00, 2021-06-01, 0.000000, BTC-1JUN21-33000-P, BTC, 1.000000, SYN.BTC-1JUN21, 36676.870000, 2021-06-01, 1622534400, 4.000000, 0.166130, put, 33000.000000, 0.000000, 0.000000, 0.000500, 2.100000, 56.200000, 33.300000, -0.000380, 0.000000, 0.010810, -0.112760, -0.000060, 147.540000, 0.100190
1622520046, 2021-06-01 00:00, 2021-06-01, 0.000000, BTC-1JUN21-34000-C, BTC, 1.000000, SYN.BTC-1JUN21, 36677.340000, 2021-06-01, 1622534400, 4.000000, 0.166130, call, 34000.000000, 6.000000, 0.050500, 0.101000, 6.100000, 3.500000, 0.400000, 0.992520, 0.000020, 0.161980, -11.883400, 0.153980, 146.730000, 0.072880
1622520046, 2021-06-01 00:00, 2021-06-01, 0.000000, BTC-1JUN21-34000-P, BTC, 1.000000, SYN.BTC-1JUN21, 36664.600000, 2021-06-01, 1622534400, 4.000000, 0.166130, put, 34000.000000, 0.000000, 0.000000, 0.000500, 15.000000, 118.200000, 65.900000, -0.007710, 0.000020, 0.166220, -2.970310, -0.001300, 146.710000, 0.072760
1622520046, 2021-06-01 00:00, 2021-06-01, 0.000000, BTC-1JUN21-35000-C, BTC, 1.000000, SYN.BTC-1JUN21, 36665.330000, 2021-06-01, 1622534400, 4.000000, 0.166130, call, 35000.000000, 9.000000, 0.034000, 0.060500, 9.100000, 18.100000, 12.000000, 0.934420, 0.000110, 0.998190, -72.821610, 0.148070, 145.910000, 0.045360
1622520046, 2021-06-01 00:00, 2021-06-01, 0.000000, BTC-1JUN21-35000-P, BTC, 1.000000, SYN.BTC-1JUN21, 36661.140000, 2021-06-01, 1622534400, 4.000000, 0.166130, put, 35000.000000, 34.000000, 0.000500, 0.001500, 59.100000, 116.300000, 155.300000, -0.066430, 0.000110, 1.010240, -33.514260, -0.011270, 145.900000, 0.045100
1622520046, 2021-06-01 00:00, 2021-06-01, 0.000000, BTC-1JUN21-36000-C, BTC, 1.000000, SYN.BTC-1JUN21, 36659.800000, 2021-06-01, 1622534400, 4.000000, 0.166130, call, 36000.000000, 5.000000, 0.019000, 0.021500, 8.100000, 198.300000, 233.000000, 0.806900, 0.000350, 2.142530, -106.600680, 0.131130, 99.510000, 0.017980
