date,price
1/2/2019,233.36
1/3/2019,226.72
1/4/2019,234.28
1/7/2019,235.36
1/8/2019,237.92
1/9/2019,238.92
1/10/2019,240
1/11/2019,239.88
1/14/2019,238.94
1/15/2019,240.64
1/16/2019,241.86
1/17/2019,243.8
1/18/2019,247.05
1/22/2019,244
1/23/2019,245.72
1/24/2019,245.47
1/25/2019,247.39
1/28/2019,245.10001
1/29/2019,245.71001
1/30/2019,250.17999
1/31/2019,250.12
2/1/2019,250.48
2/4/2019,252.32001
2/5/2019,253.96001
2/6/2019,253.87
2/7/2019,251.89999
2/8/2019,251.32001
2/11/2019,250.94
2/12/2019,254.53
2/13/2019,255.8
2/14/2019,255.16
2/15/2019,258.64999
2/19/2019,258.81
2/20/2019,259.5
2/21/2019,258.53
2/22/2019,260.17001
2/25/2019,260.89001
2/26/2019,260.54001
2/27/2019,259.87
2/28/2019,259.28
3/1/2019,260.42001
3/4/2019,258.28
3/5/2019,258.19
3/6/2019,256.87
3/7/2019,254.81
3/8/2019,254.71001
3/11/2019,256.76001
3/12/2019,255.86
3/13/2019,257.35001
3/14/2019,257.54001
3/15/2019,258.34
3/18/2019,258.98999
3/19/2019,258.88
3/20/2019,257.29001
3/21/2019,259.57999
3/22/2019,254.96001
3/25/2019,255.07001
3/26/2019,256.45999
3/27/2019,256.10999
3/28/2019,257.07999
3/29/2019,259.13
4/1/2019,262.39001
4/2/2019,261.69
4/3/2019,262
4/4/2019,263.78
4/5/2019,264.16
4/8/2019,263.22
4/9/2019,261.51001
4/10/2019,261.60001
4/11/2019,261.39999
4/12/2019,264.07001
4/15/2019,263.81
4/16/2019,264.53
4/17/2019,264.53
4/18/2019,265.56
4/22/2019,265.07001
4/23/2019,266.48001
4/24/2019,265.92001
4/25/2019,264.53
4/26/2019,265.34
4/29/2019,265.44
4/30/2019,265.79001
5/1/2019,264.14999
5/2/2019,262.88
5/3/2019,264.97
5/6/2019,264.26999
5/7/2019,259.51999
5/8/2019,259.66
5/9/2019,258.44
5/10/2019,259.92001
5/13/2019,253.47
5/14/2019,255.81
5/15/2019,256.92001
5/16/2019,259.16
5/17/2019,257.44
5/20/2019,256.67001
5/21/2019,258.76999
5/22/2019,257.60001
5/23/2019,254.75999
5/24/2019,256.12
5/28/2019,253.47
5/29/2019,251.27
5/30/2019,251.87
5/31/2019,248.22
6/3/2019,248.5
6/4/2019,253.64999
6/5/2019,255.73
6/6/2019,257.72
6/7/2019,260.25
6/10/2019,260.98999
6/11/2019,260.88
6/12/2019,260.45001
6/13/2019,261.56
6/14/2019,261.51001
6/17/2019,261.67999
6/18/2019,265.32999
6/19/2019,265.56
6/20/2019,268.07999
6/21/2019,267.10001
6/24/2019,267.17001
6/25/2019,265.26001
6/26/2019,265.22
6/27/2019,265.14999
6/28/2019,265.85001
7/1/2019,266.97
7/2/2019,267.66
7/3/2019,269.56
7/5/2019,269.26999
7/8/2019,268.06
7/9/2019,267.85999
7/10/2019,268.69
7/11/2019,270.92001
7/12/2019,273.39001
7/15/2019,273.60001
7/16/2019,273.42001
7/17/2019,272.28
7/18/2019,272.26999
7/19/2019,271.45001
7/22/2019,271.64999
7/23/2019,273.35001
7/24/2019,272.60999
7/25/2019,271.39001
7/26/2019,271.85999
7/29/2019,272.13
7/30/2019,271.91
7/31/2019,268.51999
8/1/2019,265.76001
8/2/2019,264.81
8/5/2019,257.10001
8/6/2019,260.29001
8/7/2019,260.23999
8/8/2019,264.13
8/9/2019,263.17999
8/12/2019,259.39999
8/13/2019,263.17001
8/14/2019,255.08
8/15/2019,256.35999
8/16/2019,258.88
8/19/2019,261.34
8/20/2019,259.69
8/21/2019,262.03
8/22/2019,262.56
8/23/2019,256.29001
8/26/2019,259.10001
8/27/2019,257.79999
8/28/2019,260.39001
8/29/2019,263.89999
8/30/2019,264.13
9/3/2019,261.42001
9/4/2019,263.92999
9/5/2019,267.67999
9/6/2019,268.32001
9/9/2019,268.79999
9/10/2019,269.39001
9/11/2019,271.69
9/12/2019,272.32001
9/13/2019,272.60001
9/16/2019,271.17001
9/17/2019,271.56
9/18/2019,271.97
9/19/2019,271.42001
9/20/2019,269.25
9/23/2019,269.35999
9/24/2019,267.97
9/25/2019,269.57999
9/26/2019,268.88
9/27/2019,267.98999
9/30/2019,269.17999
10/1/2019,265.5
10/2/2019,260.72
10/3/2019,262.01001
10/4/2019,265.66
10/7/2019,264.73999
10/8/2019,261.57999
10/9/2019,263.42999
10/10/2019,265.01001
10/11/2019,268.16
10/14/2019,267.85999
10/15/2019,270.22
10/16/2019,270.07999
10/17/2019,270.38
10/18/2019,267.64001
10/21/2019,268.20999
10/22/2019,267.82001
10/23/2019,268.23999
10/24/2019,267.98001
10/25/2019,269.60001
10/28/2019,270.81
10/29/2019,270.87
10/30/2019,271.73999
10/31/2019,270.48001
11/1/2019,273.34
11/4/2019,274.54999
11/5/2019,274.81
11/6/2019,274.79999
11/7/2019,277.04999
11/8/2019,277.07001
11/11/2019,277.16
11/12/2019,277.29001
11/13/2019,278.04999
11/14/2019,278.23001
11/15/2019,279.94
11/18/2019,280.26999
11/19/2019,279.32999
11/20/2019,278.20001
11/21/2019,277.72
11/22/2019,278.85999
11/25/2019,280.79999
11/26/2019,281.35999
11/27/2019,281.91
11/29/2019,280.95001
12/2/2019,278.20001
12/3/2019,275.51001
12/4/2019,277.04999
12/5/2019,277.35999
12/6/2019,280.70001
12/9/2019,279.76001
12/10/2019,279.45999
12/11/2019,279.72
12/12/2019,281.95001
12/13/2019,282.10999
12/16/2019,283.07001
12/17/2019,283.39999
12/18/2019,283.20999
12/19/2019,284.45999
12/20/2019,284.45999
12/23/2019,285.32999
12/24/2019,285.01001
12/26/2019,286.06
12/27/2019,286.32999
12/30/2019,284.53
12/31/2019,285.10001
1/2/2020,288.62
1/3/2020,286.32001
1/6/2020,286.98001
1/7/2020,285.73999
1/8/2020,287.39999
1/9/2020,289.56
1/10/2020,288.23999
1/13/2020,289.01999
1/14/2020,289.22
1/15/2020,290.35001
1/16/2020,292.92999
1/17/2020,293.26999
1/21/2020,291.82999
1/22/2020,291.81
1/23/2020,291.54001
1/24/2020,289.79999
1/27/2020,285.35999
1/28/2020,287.29001
1/29/2020,287.29001
1/30/2020,288.54001
1/31/2020,282.42001
2/3/2020,283.98001
2/4/2020,288.04001
2/5/2020,292.85999
2/6/2020,293.73999
2/7/2020,291.19
2/10/2020,292.95001
2/11/2020,292.94
2/12/2020,295.72
2/13/2020,294.82001
2/14/2020,294.54001
2/18/2020,292.95001
2/19/2020,294.10001
2/20/2020,292.78
2/21/2020,289.73999
2/24/2020,279.56
2/25/2020,270.70001
2/26/2020,269.73999
2/27/2020,257.5
2/28/2020,254.56
3/2/2020,267.03
3/3/2020,259.29999
3/4/2020,270.89001
3/5/2020,261.45999
3/6/2020,258.85001
3/9/2020,238.72
3/10/2020,250.47
3/11/2020,235.84
3/12/2020,212.11
3/13/2020,232.11
3/16/2020,202.49001
3/17/2020,213.47
3/18/2020,199.39
3/19/2020,201.31
3/20/2020,191.89999
3/23/2020,186.13
3/24/2020,206.64
3/25/2020,212.06
3/26/2020,225.07001
3/27/2020,216.35001
3/30/2020,223.10001
3/31/2020,219.23
4/1/2020,209.38
4/2/2020,213.96001
4/3/2020,210.60001
4/6/2020,226.53
4/7/2020,226.60001
4/8/2020,234.33
4/9/2020,237.14
4/13/2020,233.96001
4/14/2020,239.67999
4/15/2020,235.08
4/16/2020,235.34
4/17/2020,242.42999
4/20/2020,236.64
4/21/2020,230.22
4/22/2020,234.77
4/23/2020,235.07001
4/24/2020,237.83
4/27/2020,241.32001
4/28/2020,241.09
4/29/2020,246.45
4/30/2020,243.22
5/1/2020,237.28
5/4/2020,237.42
5/5/2020,238.8
5/6/2020,236.86
5/7/2020,238.91
5/8/2020,243.62
5/11/2020,242.56
5/12/2020,238.08
5/13/2020,232.82001
5/14/2020,236.75
5/15/2020,236.91
5/18/2020,245.92999
5/19/2020,242.22
5/20/2020,245.73
5/21/2020,245.02
5/22/2020,244.88
5/26/2020,250.25
5/27/2020,255.77
5/28/2020,254.35001
5/29/2020,254.28999
6/1/2020,255.27
6/2/2020,257.85001
6/3/2020,263.17001
6/4/2020,263.32999
6/5/2020,271.54001
6/8/2020,276.28
6/9/2020,273.38
6/10/2020,270.45999
6/11/2020,252.03
6/12/2020,256.73999
6/15/2020,258.35001
6/16/2020,263.82001
6/17/2020,261.82001
6/18/2020,261.45001
6/19/2020,258.79999
6/22/2020,260.32001
6/23/2020,261.5
6/24/2020,254.63
6/25/2020,257.44
6/26/2020,250.38
6/29/2020,255.91
6/30/2020,257.87
7/1/2020,257.31
7/2/2020,258.42001
7/6/2020,263
7/7/2020,259.04001
7/8/2020,260.72
7/9/2020,257.23999
7/10/2020,260.82001
7/13/2020,261.04001
7/14/2020,266.59
7/15/2020,268.91
7/16/2020,267.47
7/17/2020,266.73999
7/20/2020,266.82001
7/21/2020,268.34
7/22/2020,269.98001
7/23/2020,266.69
7/24/2020,264.69
7/27/2020,265.95001
7/28/2020,263.92999
7/29/2020,265.5
7/30/2020,263.28
7/31/2020,264.35001
8/3/2020,266.72
8/4/2020,268.41
8/5/2020,272
8/6/2020,273.89999
8/7/2020,274.62
8/10/2020,278.14001
8/11/2020,277.19
8/12/2020,280.04001
8/13/2020,279.42001
8/14/2020,279.79999
8/17/2020,278.95001
8/18/2020,278.20001
8/19/2020,277.42999
8/20/2020,277.87
8/21/2020,279.29001
8/24/2020,283.17999
8/25/2020,282.62
8/26/2020,283.42999
8/27/2020,285.04001
8/28/2020,286.70001
8/31/2020,284.28
9/1/2020,286.79001
9/2/2020,291.20999
9/3/2020,283.34
9/4/2020,281.76999
9/8/2020,275.42001
9/9/2020,279.85001
9/10/2020,275.79001
9/11/2020,277.09
9/14/2020,280.53
9/15/2020,280.57999
9/16/2020,281.03
9/17/2020,279.57001
9/18/2020,276.51999
9/21/2020,271.44
9/22/2020,272.81
9/23/2020,267.57999
9/24/2020,268.10001
9/25/2020,271.70001
9/28/2020,275.89999
9/29/2020,274.42001
9/30/2020,277.5
10/1/2020,278.14001
10/2/2020,276.79999
10/5/2020,281.51001
10/6/2020,277.72
10/7/2020,282.92001
10/8/2020,284.29001
10/9/2020,285.92999
10/12/2020,288.45999
10/13/2020,286.73999
10/14/2020,285.13
10/15/2020,285.04001
10/16/2020,285.97
10/19/2020,282.03
10/20/2020,282.95001
10/21/2020,281.97
10/22/2020,283.64999
10/23/2020,283.34
10/26/2020,277
10/27/2020,274.66
10/28/2020,265.48001
10/29/2020,266.59
10/30/2020,265.06
11/2/2020,269.20001
11/3/2020,274.64999
11/4/2020,278.51001
11/5/2020,283.91
11/6/2020,283.22
11/9/2020,291.72
11/10/2020,294.51001
11/11/2020,294.10999
11/12/2020,291.04999
11/13/2020,295.14999
11/16/2020,299.98001
11/17/2020,298.31
11/18/2020,294.76001
11/19/2020,295.32999
11/20/2020,292.53
11/23/2020,295.89001
11/24/2020,300.42999
11/25/2020,298.73999
11/27/2020,299.23999
11/30/2020,296.62
12/1/2020,298.44
12/2/2020,299.17999
12/3/2020,300.06
12/4/2020,302.59
12/7/2020,301.10001
12/8/2020,302.20001
12/9/2020,300.88
12/10/2020,300.54001
12/11/2020,300.92999
12/14/2020,299.10001
12/15/2020,302.62
12/16/2020,302.14999
12/17/2020,303.48999
12/18/2020,301.89999
