date,exdate,cp_flag,strike_price,best_bid,best_offer,volume,optionid,index_flag,issuer,exercise_style
2022-08-31,2022-09-02,C,115000,44.25,44.35,0,148602970,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,120000,39.25,39.35,0,148602971,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,125000,34.25,34.35,0,148602972,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,130000,29.25,29.35,0,148602973,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,135000,24.25,24.35,0,148602974,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,137000,22.25,22.35,0,149370683,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,138000,21.25,21.35,0,149343656,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,139000,20.25,20.35,0,149190605,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,140000,19.25,19.35,0,148582049,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,141000,18.25,18.35,0,149190606,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,142000,17.25,17.35,0,149190607,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,143000,16.25,16.35,0,149190608,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,144000,15.25,15.4,0,149190609,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,145000,14.3,14.4,1,148546191,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,146000,13.3,13.4,1,148546192,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,147000,12.3,12.4,0,148546193,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,148000,11.3,11.4,0,148546194,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,148500,10.8,10.9,0,148546195,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,149000,10.3,10.4,0,148546196,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,149500,9.8,9.9,0,148546197,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,150000,9.3,9.4,3,148546198,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,150500,8.8,8.9,0,148602975,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,151000,8.3,8.4,0,148546199,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,151500,7.8,7.9,1,148602976,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,152000,7.3,7.4,10,148546200,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,152500,6.8,6.9,21,148546201,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,153000,6.3,6.4,1,148546202,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,153500,5.8,5.9,0,148602977,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,154000,5.3,5.4,0,148546203,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,154500,4.85,4.95,28,148602978,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,155000,4.35,4.45,1,148546204,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,155500,3.85,3.95,0,148602979,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,156000,3.4,3.5,4,148546205,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,156500,2.95,3,20,148602980,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,157000,2.51,2.56,6,148546206,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,157500,2.09,2.14,5,148546207,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,158000,1.69,1.74,42,148546208,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,158500,1.35,1.38,6,148602981,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,159000,1.03,1.07,221,148546209,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,159500,0.77,0.79,163,148602982,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,160000,0.55,0.57,923,148546210,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,160500,0.38,0.4,299,148602983,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,161000,0.25,0.27,712,148546211,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,161500,0.17,0.18,245,148602984,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,162000,0.11,0.12,351,148546212,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,162500,0.07,0.08,178,148546213,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,163000,0.05,0.06,523,148546214,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,163500,0.03,0.05,159,148602985,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,164000,0.02,0.03,142,148546215,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,164500,0.02,0.03,64,148602986,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,165000,0.01,0.02,92,148546216,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,165500,0.01,0.02,49,148602987,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,166000,0.01,0.02,24,148546217,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,166500,0.01,0.02,120,148602988,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,167000,0.01,0.02,543,148546218,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,167500,0,0.01,16,148546219,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,168000,0,0.01,24,148546220,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,168500,0,0.01,0,148602989,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,169000,0,0.01,0,148546221,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,169500,0,0.01,0,148602990,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,170000,0,0.01,13,148546222,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,170500,0,0.01,5,148752946,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,171000,0,0.01,50,148546223,0,SSGA ACTIVE TRUST,A
2022-08-31,2022-09-02,C,171500,0,0.01,0,148752947,0,SSGA ACTIVE TRUST,A
